level,function,cycles_avg,cycles_median,code_dimension,null_eta2
3,kex_ake_initA,71265,69719,4,False
3,kex_ake_sharedB,117006,115234,4,False
3,kex_ake_sharedA,67981,66934,4,False
3,gen_a,13957,13330,4,True
3,poly_getnoise_eta1,1431,1396,4,True
3,poly_getnoise_eta2,1431,1401,4,True
3,poly_getnoise_eta1_4x,1755,1637,4,True
3,NTT,146,146,4,True
3,INVNTT,173,160,4,True
3,polyvec_basemul_acc_montgomery,204,198,4,True
3,poly_tomsg,979,948,4,True
3,poly_frommsg,57,58,4,True
3,poly_compress,13,13,4,True
3,poly_decompress,17,17,4,True
3,polyvec_compress,330,322,4,True
3,polyvec_decompress,84,84,4,True
3,indcpa_keypair,22155,21126,4,True
3,indcpa_enc,18436,18061,4,True
3,indcpa_dec,2217,2215,4,True
3,kyber_keypair,30863,30857,4,True
3,kyber_encaps,38791,38648,4,True
3,kyber_decaps,31189,30865,4,True
3,kex_uake_initA,69014,67733,4,True
3,kex_uake_sharedB,72212,70731,4,True
3,kex_uake_sharedA,32807,32759,4,True
3,kex_ake_initA,71031,70669,4,True
3,kex_ake_sharedB,111377,109583,4,True
3,kex_ake_sharedA,63828,63070,4,True
5,gen_a,21329,20520,2,False
5,poly_getnoise_eta1,1403,1396,2,False
5,poly_getnoise_eta2,1400,1397,2,False
5,poly_getnoise_eta1_4x,1663,1634,2,False
5,NTT,157,147,2,False
5,INVNTT,168,160,2,False
5,polyvec_basemul_acc_montgomery,272,271,2,False
5,poly_tomsg,405,404,2,False
5,poly_frommsg,78,78,2,False
5,poly_compress,36,36,2,False
5,poly_decompress,25,25,2,False
5,polyvec_compress,496,495,2,False
5,polyvec_decompress,165,166,2,False
5,indcpa_keypair,30607,30124,2,False
5,indcpa_enc,30512,30047,2,False
5,indcpa_dec,2153,2146,2,False
5,kyber_keypair,43245,42351,2,False
5,kyber_encaps,58391,57429,2,False
5,kyber_decaps,46608,46486,2,False
5,kex_uake_initA,98203,96489,2,False
5,kex_uake_sharedB,105528,102856,2,False
5,kex_uake_sharedA,48224,48733,2,False
5,kex_ake_initA,98296,96440,2,False
5,kex_ake_sharedB,162611,159386,2,False
5,kex_ake_sharedA,94720,94241,2,False
3,gen_a,14432,13692,1,False
3,poly_getnoise_eta1,1459,1428,1,False
3,poly_getnoise_eta2,1446,1430,1,False
3,poly_getnoise_eta1_4x,1730,1675,1,False
3,NTT,161,150,1,False
3,INVNTT,164,164,1,False
3,polyvec_basemul_acc_montgomery,203,202,1,False
3,poly_tomsg,16,16,1,False
3,poly_frommsg,25,25,1,False
3,poly_compress,14,15,1,False
