KYBER_Q,KYBER_LEVEL,KYBER_K,KYBER_ETA1,KYBER_ETA2,KYBER_N_BLOCKS_FOR_DU0,KYBER_DU0,KYBER_DU1,KYBER_DV,CODE_ALPHA,CODE_BETA,DFR
3329,1,2,3,2,2,10,0,4,1664,94,1.5630956818855223720320756498534809617509867666090136664112156721991513843375525e-38
3329,1,2,3,2,2,10,0,4,1664,95,1.5600359210368972762531049011267682430355841399166624053812792697006192187035177e-38
3329,1,2,3,2,2,10,0,4,1664,96,1.5574477287597088694395783234969609109036102274651308540310445982629130749922997e-38
3329,1,2,3,2,2,10,0,4,1664,97,1.5554192136752601105105013183882640950169516836015004479397971991575137117007399e-38
3329,1,2,3,2,2,10,0,4,1664,98,1.5542091985511898127129007484700645247830015010111958518050817025933454018091380e-38
3329,1,2,3,2,2,10,0,4,1664,99,1.5501452547140747974711907694606055311813889110405613561635944793285530508786426e-38
3329,1,2,3,2,2,10,0,4,1664,100,1.5479616452055261786287587854418100591598694928204954002717633760388233722636451e-38
3329,1,2,3,2,2,10,0,4,1664,101,1.5450334355155716644298910744459015329072503386036153455425747237772629896772456e-38
3329,1,2,3,2,2,10,0,4,1664,102,1.5420946083560218903703523846221567039247735094560583158816566639699129057524197e-38
3329,1,2,3,2,2,10,0,4,1664,103,1.5393742183319808932597621878154380516516621910930682750726786752874482207731696e-38
3329,1,2,3,2,2,10,0,4,1664,104,1.5345269994570528452043914012688010328895397677984178092418061768902976861876144e-38
3329,1,2,3,2,2,10,0,4,1664,105,1.5333419914535865152064998936414063725994441660810075047925608155439683335376224e-38
3329,1,2,3,2,2,10,0,4,1664,106,1.5308474192132717157187818754457974532771776072669763507229278788792837192679188e-38
3329,1,2,3,2,2,10,0,4,1664,107,1.5275949219570666278710456595251598657849464250838980641554130838940609570772778e-38
3329,1,2,3,2,2,10,0,4,1664,108,1.5243020768278307759253679079284865313812766655203453696116900772192208807092521e-38
3329,1,2,3,2,2,10,0,4,1664,109,1.5213539423782364823242025245701492615687437355235595322525344073573507372532339e-38
3329,1,2,3,2,2,10,0,4,1664,110,1.5183364892444148343299888669702224389568489905720553286555072309639473002709197e-38
3329,1,2,3,2,2,10,0,4,1664,111,1.5140123736738630662176912755849508450149717023549468601136827726305069314600389e-38
3329,1,2,3,2,2,10,0,4,1664,112,1.5118666532691270821478769875222572093375872809307006144693177110258204435141828e-38
3329,1,2,3,2,2,10,0,4,1664,113,1.5084119116729322320457487800971366541648186051761545078732120192474307472203893e-38
3329,1,2,3,2,2,10,0,4,1664,114,1.5059980950906786437534195642608742597652507144193944807806637246735060262115786e-38
3329,1,2,3,2,2,10,0,4,1664,115,1.5019067958687202484771924887356487304691287534493802042874909321799454753332665e-38
3329,1,2,3,2,2,10,0,4,1664,116,1.4984033746199297545175658052546435175723945462361587085934333580251978592035876e-38
3329,1,2,3,2,2,10,0,4,1664,117,1.4953068737485261958732458310744160913178846216019337653611951104028362591681461e-38
3329,1,2,3,2,2,10,0,4,1664,118,1.4918880990528313650042421015565432984616614237647958926880635842450912679477058e-38
3329,1,2,3,2,2,10,0,4,1664,119,1.4875793877545946549538541261978993444562164522654380903759594463298083039769233e-38
3329,1,2,3,2,2,10,0,4,1664,120,1.4849466265804185518841839491199905051981906923380393275653763577365479754861743e-38
3329,1,2,3,2,2,10,0,4,1664,121,1.4809950958310221312913952585353935506138067908534144110139965752200708233410675e-38
